model,family,HumanEval_p1,MBPP_p1,DataDep_p1,DeadCode_p1,Dominators_p1,FuncReach_p1,LoopReach_p1,Liveness_p1,All_geo_p1
GPT-5-Codex,GPT,,,87.12,89.05,85.22,97.83,64.96,64.38,80.42
GPT-5,GPT,93.4,,87.56,91.15,90.63,76.44,64.53,61.01,77.56
GPT-4o Mini,GPT,88.4,,83.25,86.4,69.99,58.85,67.56,56.54,69.55
GPT-3.5 Turbo,GPT,71.9,,68.69,58.27,56.28,69.05,84.5,58.27,65.17
DeepSeek-Coder V2-Lite-Instr,DeepSeek,81.1,68.8,70.27,57.4,50.1,77.79,68.17,54.15,62.22
DeepSeek-Coder 7B-Instr v1.5,DeepSeek,64.1,64.6,44.3,51.05,44.64,41.18,50.41,32.47,43.53
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,,17.2,7.8,15.9,9.17,14.4,18.98,24.07,13.99
CodeLlama-13B-Instr,Llama,42.7,49.4,48.28,50.9,49.8,45.38,38.19,42.85,45.68
CodeLlama-7B-Instr,Llama,34.8,44.4,46.81,49.35,49.4,52.31,47.35,42.85,47.92
Llama-3 8B-Instr,Llama,72.6,,62.28,63.4,52.25,48.56,38.45,33.89,48.52
Mistral 7B-Instr (v0.3),Mistral,,,74.3,60.6,56.51,70.12,68.07,57.51,64.17
Mamba Codestral 7B (v0.1),Mistral,75,68.5,32.57,30.85,38.83,54.82,36.54,47.38,39.33
Qwen2.5-Coder 14B-Instr,Qwen,89.6,86.2,27.61,89.95,20.64,49.38,46.77,41.42,41.22
Qwen3 14B,Qwen,,73.4,54.56,61,51.9,58.4,24.89,51.7,48.48
StarCoder 2 7B,StarCoder,30.5,47.4,47.08,61.85,41.78,36.08,32.49,43.26,42.83
Phi-4 Reasoning (14B),Phi,,12.5,65.03,51.55,48.9,23.73,18.45,18.73,33.22