model,family,All_byquestionscount_p1,HumanEval_p1,MBPP_p1,DataDep_p1,DeadCode_p1,Dominators_p1,FuncReach_p1,Liveness_p1,LoopReach_p1,All_averagecategory_p1,All_geo_p1_old,All_geo_p1
GPT-5-Codex,GPT,78.94,,,87.12,89.05,85.22,97.83,33.96,64.96,78.68,74.17,72.29
GPT-5,GPT,72.68,93.4,,87.56,91.15,90.63,76.44,32.26,64.53,73.45,69.4,69.75
GPT-4o Mini,GPT,70.21,88.4,,83.25,86.4,69.99,58.85,36.79,67.56,72.1,68.67,64.74
GPT-3.5 Turbo,GPT,70.55,71.9,,68.69,58.27,56.28,69.05,37.71,84.5,68.48,65.74,60.61
DeepSeek-Coder V2-Lite-Instr,DeepSeek,65.55,81.1,68.8,70.27,57.4,50.1,77.79,50.99,68.17,63.47,62.26,61.6
DeepSeek-Coder 7B-Instr v1.5,DeepSeek,44.79,64.1,64.6,44.3,51.05,44.64,41.18,36.23,50.41,44.33,44.02,44.71
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,18.11,,17.2,7.8,15.9,9.17,14.4,22.14,18.98,18.43,15.58,13.79
CodeLlama-13B-Instr,Llama,41.93,42.7,49.4,48.28,50.9,49.8,45.38,39.64,38.19,42.05,41.55,45.09
CodeLlama-7B-Instr,Llama,50.41,34.8,44.4,46.81,49.35,49.4,52.31,62.19,47.35,50.6,44.11,50.99
Llama-3 8B-Instr,Llama,41.6,72.6,,62.28,63.4,52.25,48.56,35.47,38.45,41.14,39.32,50.59
Mistral 7B-Instr (v0.3),Mistral,64.44,,,74.3,60.6,56.51,70.12,52.21,68.07,63.08,62.76,63.19
Mamba Codestral 7B (v0.1),Mistral,39.98,75,68.5,32.57,30.85,38.83,54.82,33.38,36.54,38.6,37.93,37.1
Qwen2.5-Coder 14B-Instr,Qwen,54.13,89.6,86.2,27.61,89.95,20.64,49.38,25.34,46.77,55.9,51.9,37.98
Qwen3 14B,Qwen,40.02,,73.4,54.56,61,51.9,58.4,19.85,24.89,40.04,36.48,41.49
StarCoder 2 7B,StarCoder,36.74,30.5,47.4,47.08,61.85,41.78,36.08,37.15,32.49,37.46,35.04,41.75
Phi-4 Reasoning (14B),Phi,22.6,,12.5,65.03,51.55,48.9,23.73,14.76,18.45,23.06,19.83,30.48